,id,HotelName,sponsor,event,venue,City&Country,measurements,occasion,notes,call_number,keywords,language,date,place,place_type,currency,currency_symbol,status,page_count,dish_count
10136,27619,,"Supper Menu, S. S. Vaderland, March 18th, 1910.",Supper Menu,,,,,,1910-946 ITEM B,,,1910-03-18,"Supper Menu, S. S. Vaderland, March 18th, 1910.",,,,complete,2,14
3185,19118,,,,,,,,,,,,1900-05-15,Norddeutscher Lloyd Bremen,,,,complete,2,71
9375,26828,,Moulin,Dessert menu,"FOREIGN,RESTAURANT","restaurant Moulin, France","Folder, paper, 8 x 10.5 inches",,"Dieter Zander Collection; cover artwork signed by artist, Palayer",Zander 664,,,,Moulin,,Francs,FF,complete,4,19
7428,24486,,CORTLAND COUNTY SOCIETY OF NEW YORK,EIGHTH ANNUAL DINNER,PATR;,"HOTEL ASTOR, [NEW YORK]",BOOKLET; ILLUS; COL; 5.75 X 8.5;,ANNIVERSARY;,SEPIA PHOTOGRAPH OF SCENE;,1908-096,,,1908-01-30,Cortland County Society Of New York,,,,complete,12,16
2353,16283,,,,,,,,,,,,1905-12-30,Members And Friends Of The Pen And Pencil Club,,,,complete,4,21
9833,27311,,Gramercy Inn; H.R. Weissberg Hotel Corp.,lunch,"HOTEL,RESTAURANT",Gramercy Inn,folder; 9.875 x 13.75 inches,,"Baratta collection; extensive wine list; a la carte options; chef's special Corn Beef Hash with Poached Egg, Buttered Green Peas; Sandwich of the Day Deviled Corn Beef on Rye, Dill Pickle Garni; ""Under the same management as these fine hotels: The Gramerc",Baratta 153,,,1963-03-19,Gramercy Inn; H.R. Weissberg Hotel Corp.,,Dollars,$,complete,4,127
10625,28127,,Bethlehem Steel Club,,,,28x22cm folded; 28x44cm open,,,1967-0031_wotm,,,1967-05-25,Bethlehem Steel Club,,Dollars,$,complete,3,111
3614,19954,,SUMMIT HOUSE,SUPPER,COMMERCIAL,"MOUNT WASHINGTON, NH",CARD; COL; 4.5X7;,DAILY;,,1901-2181,,,1901-08-20,Summit House,,,,complete,2,44
13740,31330,,The Ambassador,,,,33x23cm,,,1933-0238_wotm,,,1933-05-18,The Ambassador,,Dollars,$,complete,1,243
14693,32300,Cavanagh's,Cavanagh's,,,,35.5x23.5cm folded; 35.5x27cm open,,,1918-0176_wotm,,,1918-01-27,Cavanagh's,,Dollars,$,complete,4,530
4132,20486,,TOYO KISEN KAISHA,TIFFIN,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,DAILY MENU;,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-4780,,,1900-10-23,Toyo Kisen Kaisha,,,,complete,2,30
14196,31791,,Hotel Astor,,,,22x14.5cm folded; 22x29cm open,,Society of the Friendly Sons of St. Patrick,1925-0010_wotm,,,1925-03-17,Hotel Astor,,,,complete,5,15
11335,28846,,Holland America Cruises,,,,32x20.5cm,,,1987-0079_wotm,,,1987-01-01,Holland America Cruises,,,,complete,1,53
11465,28979,,The Causerie,,,,24x15cm folded; 24x30cm open,,English is secondary language,1963-0059_wotm,,,1963-10-07,The Causerie,,,,complete,3,99
14509,32113,Hotel Taft,Hotel Taft,,,,18.5x13cm folded; 18.5x26cm open,,Chambers of Commerce of New Haven,1916-0028_wotm,,,1916-02-17,Hotel Taft,,Dollars,$,complete,5,25
11004,28512,,The Flying Clipper Restaurant,,,,25x18.5cm folded; 25x55.5cm open,,,1957-0050_wotm,,,1957-05-23,The Flying Clipper Restaurant,,Dollars,$,complete,5,0
4028,20378,,OCEANIC STEAMSHIP CO. - S.S.ZEALANDIA,DINNER,COM,EN ROUTE TO AUSTRALIA,FOLDER; ILLUS.COVER; COL; 5 X 7.5;,,ALL ITEMS HANDWRITTEN;,1901-2131,,,1901-08-07,Oceanic Steamship Co.   S.S.Zealandia,,,,complete,4,42
11761,29281,,Caronia,,,,28x22cm folded; 28x42.5cm open,,,2001-0015_wotm,,,2001-08-07,Caronia,,Dollars,$,complete,1,26
5041,21495,,GOVERNMENT OF STATE OF RHODE ISLAND,INAUGURATION DAY,GOVT;,,FOLDER; ILLUS; 4.25X6.5;,RITE;,,1908-020,,,1908-01-07,Government Of State Of Rhode Island,,,,complete,4,23
7192,24187,,NEW ENGLAND SOCIETY OF NORTHEASTERN PENNSYLVANIA,NINETEENTH ANNUAL DINNER,PATR;,"SCRANTON, PA",BOOKLET; ILLUS; 5.5 X 8.25;,ANNIVERSARY;,ILLUSTRATION OF OLD SOUTH CHURCH; QUOTES; TOASTS;,1905-993,,,1905-12-22,New England Society Of Northeastern Pennsylvania,,,,complete,12,30
5740,22387,,COLUMBIA UNIVERSITY DEBATING UNION,BANQUET OF CORNELL AND COLUMBIA DEBATING TEAMS,EDUC;,"HOTEL SAVOY, NY","FOLDER; 5,5 X 7;",SOC;,TOASTS;,1901-590,,,1901-03-07,Columbia University Debating Union,,,,complete,4,12
14206,31801,,National Republican Club House [?],,,,21x15.5cm folded; 21x31cm open,,The National Repulican Club,1925-0020_wotm,,,1925-08-06,National Republican Club House [?],,,,complete,4,19
5682,22318,,SCOTIA LODGE NO. 634,FORTIETH ANNIVERSARY AND BANQUET,SOC;,TERRACE GARDEN,FOLDER; ILLUS; COL; 5.6X7;,ANNIVERSARY;,ANNIVERSARY COMMITTEE LISTED; LIST OF OFFICERS ON BACK COVER; LODGE SEAL ON FRONT COVER;,1907-911,,,1907-10-24,Scotia Lodge No. 634,,,,complete,4,22
5535,22136,,GRAND UNION,DINNER,COMMERCIAL,"SARATOGA SPRINGS, [NY]",CARD; 5.25 X 8;,,"CREST; ILLUSTRATION OF 'IROQUOIS, BUFFALO, NY; 'ABSOLUTELY  FIREPROOF' ON BACK;",1899-535,,,1899-07-28,Grand Union,,,,complete,2,57
7046,24011,,NATIONAL CONVENTION FOR THE EXTENSION OF THE FOREIGN COMMERCE OF THE U.S.,BANQUET,GOVT;,"THE ARLINGTON, WASHINGTON, DC",BOOKLET; ILLUS; COL; 8.5X10.5;,OTHER;,"WINES LISTED; PHOTO OF PRESIDENT ROOSEVELT AND [SECRETARY OF STATE?]; SPEAKERS LISTED; SPECIAL COMMITTEE MEMBERS LISTED, INCLUDING ISIDOR STRAUS;",1907-094,,,1907-01-16,National Convention For The Extension Of The Foreign Commerce Of The U.S.,,,,complete,10,23
12909,30457,,The New Haven R.R.,,,,12.5x15.5cm folded; 12.5x28.5cm open,,afternoon tea menu,1941-0004_wotm,,,,The New Haven R.R.,,Dollars,$,complete,2,19
10211,27694,,ZABERERS,DINNER,RESTAURANT,"BLACK HORSE PIKE, NJ",FOLDER; ILLUS; COL; 11 X 12.75,,PRICED MENU; WINE LIST; MULTI-COLORED MENU WITH ILLUSTRATIONS OF COLONIALS DRINKING AND PHOTOS OF DISHES; PRINTED IN BLACK INK ; GREEN AND ORGANGE SCROLL BORDER; SPECIALS ARE IN BOXES; COVER IS BROWN WITH VINAGE NEWSPAPER CLIPPINGS DRAWN,1968-0026,,,1968-04-27,Confrerie De La Chaine Des Rotisseurs,,,,complete,1,16
